Census_year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading_name,Business_address,Number of patrons,Longitude,Latitude,Location
2003,859,109512,109512,146W-150W Toorak Road SOUTH YARRA 3141,South Yarra,United Kingdom Settlers Association,"Front Floor 1, 146W Toorak Road SOUTH YARRA 3141",100,144.98306,-37.83928,"-37.83928, 144.98306"
2003,1103,558180,558180,94-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",500,144.94615,-37.81812,"-37.81812, 144.94615"
2004,4,104034,104034,207-361 Flinders Street MELBOURNE 3000,Melbourne (CBD),Clocks At Flinders Street Station,"Shop 17, 207-361 Flinders Street MELBOURNE 3000",300,144.96451,-37.82033,"-37.82033, 144.96451"
2004,6,578321,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Wine Bar,"Tenancy 23, 2 Swanston Street MELBOURNE 3000",355,144.96851,-37.81943,"-37.81943, 144.96851"
2004,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,508-514 Flinders Street MELBOURNE 3000,324,144.95583,-37.8218,"-37.8218, 144.95583"
2004,13,106435,106435,21-31 Market Street MELBOURNE 3000,Melbourne (CBD),The Trust Bar,"Unit 1, 29-0 Market Street MELBOURNE 3000",100,144.95911,-37.82028,"-37.82028, 144.95911"
2004,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Bond Lounge,"Ground , 20-24 Bond Street MELBOURNE 3000",500,144.96174,-37.81978,"-37.81978, 144.96174"
2004,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),Purple Emerald,"Ground , 191 Flinders Street MELBOURNE 3000",100,144.96725,-37.81824,"-37.81824, 144.96725"
2004,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Hell's Kitchen,"Mezzanine , 20A Flinders Lane MELBOURNE 3000",55,144.96428,-37.81824,"-37.81824, 144.96428"
2004,33,100727,100727,5-9 Bank Place MELBOURNE 3000,Melbourne (CBD),Mitre Tavern,5-9 Bank Place MELBOURNE 3000,300,144.95897,-37.81844,"-37.81844, 144.95897"
2004,34,110669,110669,353-359 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Grosvenor Tavern,"Basement , 25 Little Collins Street MELBOURNE 3000",230,144.96168,-37.81734,"-37.81734, 144.96168"
2004,42,105392,105392,120-138 King Street MELBOURNE 3000,Melbourne (CBD),The Exchange Hotel,"Part Ground , 120 King Street MELBOURNE 3000",1240,144.95509,-37.81867,"-37.81867, 144.95509"
2004,43,101152,101152,457-471 Bourke Street MELBOURNE 3000,Melbourne (CBD),Madisons Restaurant Bar Lounge,"Part Ground , 461 Bourke Street MELBOURNE 3000",280,144.95886,-37.81713,"-37.81713, 144.95886"
2004,43,108069,108069,131-141 Queen Street MELBOURNE 3000,Melbourne (CBD),The Turf Bar & Restaurant,"Unit 1, LwrGround , 131 Queen Street MELBOURNE 3000",527,144.95922,-37.81713,"-37.81713, 144.95922"
2004,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.96627,-37.81555,"-37.81555, 144.96627"
2004,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,285,144.97013,-37.81445,"-37.81445, 144.97013"
