Organisation,Address,Website,latitude,longitude,geopoint
Stone and Chalk,"710 Collins Street, Melbourne 3000",http://www.stoneandchalk.com.au,-37.819908,144.950386,"-37.819908, 144.950386"
The Cluster,"Level 17, 20/21, 31 Queen Street Melbourne 3000",http://www.thecluster.com.au,-37.8182314,144.961787,"-37.8182314, 144.961787"
The Commons QV,"3 Albert Coates Lane, Melbourne 3000",https://thecommons.io/location/qv/,-37.811104,144.964657,"-37.811104, 144.964657"
The Pond,"Level 1, 382 Little Collins Street, Melbourne 3000",https://silverpond.com.au/ai-community/co-working/,-37.815594,144.961959,"-37.815594, 144.961959"
Victory Offices,"Victory Lounge, 416 Collins Street, Melbourne 3000",http://www.vcso.com.au/co-working/,-37.81707,144.960353,"-37.81707, 144.960353"
Workspace365,"Level 14, 330 Collins Street, Melbourne VIC 3000",https://www.workspace365.com.au/co-working,-37.816211,144.963253,"-37.816211, 144.963253"
Workspace365,"Level 9/14/15 330 Collins Street, Melbourne 3000",https://www.workspace365.com.au/co-working,-37.816211,144.9632531,"-37.816211, 144.9632531"
YBF Ventures,"520 Bourke Street, Melbourne 3000",http://ybfventures.com,-37.8152776,144.9583442,"-37.8152776, 144.9583442"
11th Space,"Level 11/580 Collins St, Melbourne VIC 3000",https://11thspace.com/,-37.818523,144.9553637,"-37.818523, 144.9553637"
360 Collins,"360 Collins Street, Melbourne 3000",https://officespace.com.au/melbourne/153369/,-37.816002,144.962311,"-37.816002, 144.962311"
ACMI X,"Level 4, 2 Kavanagh Street, Southbank 3006",https://www.acmi.net.au/acmi-x/,-37.8218014,144.9675938,"-37.8218014, 144.9675938"
Clik Collective,"2 Chelmsford Street, Kensington 3031",http://clikcollective.com.au,-37.7964148,144.9316956,"-37.7964148, 144.9316956"
Hatch Quarter,"7/677 La Trobe Street, Docklands 3008",http://www.hatchquarter.com.au/,-37.8146,144.94731,"-37.8146, 144.94731"
Hub Southern Cross,"Level 2/3, 696 Bourke Street, Melbourne, 3000",https://www.hubaustralia.com/locations/melbourne/,-37.8166157,144.9535632,"-37.8166157, 144.9535632"
JustCo,"15 William Street, Melbourne 3000",https://www.justcoglobal.com/au/locations/melbourne,-37.81902,144.95946,"-37.81902, 144.95946"
Normanby Chambers,"430 Little Collins Street, Melbourne 3000",https://officespace.com.au/melbourne/36231/,-37.81609,144.960205,"-37.81609, 144.960205"
Regus,"555 Lonsdale Street, Melbourne 3000",https://www.regus.com.au/offices/australia/victoria/melbourne/coworking-space,-37.814243,144.956238,"-37.814243, 144.956238"
Servcorp,"Level 27, 101 Collins Street, Melbourne 3000",http://www.servcorp.com.au,-37.8145874,144.9706666,"-37.8145874, 144.9706666"
Servcorp,"Level 40, 140 William Street, Melbourne 3000",http://www.servcorp.com.au,-37.8158486,144.9588389,"-37.8158486, 144.9588389"
Space & Co,"Level 12, 360 Elizabeth Street, Melbourne 3000",http://www.spaceandco.com.au/melbourne,-37.8108817,144.9620182,"-37.8108817, 144.9620182"
Victory Offices,"Collins Place, Level 30, 35 Collins Street, Melbourne 3000",http://www.vcso.com.au/co-working/,-37.81412,144.972341,"-37.81412, 144.972341"
Victory Offices,"Collins Square, Level 17, 727 Collins Street, Melbourne 3000",http://www.vcso.com.au/co-working/,-37.820606,144.950105,"-37.820606, 144.950105"
Wework,"114 William Street, Melbourne VIC 3000",http://www.wework.com/l/melbourne,-37.816329,144.95886,"-37.816329, 144.95886"
Wework,222 Exhibition Street Melbourne VIC 3000,http://www.wework.com/l/melbourne,-37.810727,144.970238,"-37.810727, 144.970238"
Workspace365,"607 Bourke Street, Melbourne 3000",https://www.workspace365.com.au/co-working,-37.816673,144.955505,"-37.816673, 144.955505"
